danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,number_of_artists,explicit,name,url,genres,filtered_genres,top_genre,emotion
0.154,0.976,-3.41,0.246,0.000533,5.65e-05,0.317,0.256,200.022,209949.0,0.0,1.0,True,Circled By The Wolves,https://open.spotify.com/track/0ZITmDKp01oRCzifItydpK,"['trancecore', 'pop punk', 'post-grunge', 'alternative metal', 'metalcore', 'uk metalcore']",['metalcore'],metalcore,energetic
0.56,0.928,-4.594,0.0559,0.00144,0.00295,0.318,0.615,115.204,217893.0,48.0,1.0,False,Portuguese Knife Fight,https://open.spotify.com/track/01T0Kq5YOIRF9BQRXJsyfe,"['modern rock', 'pov: indie', 'rock', 'modern alternative rock', 'punk blues']",['rock'],rock,energetic
0.38,0.956,-2.44,0.0796,0.0053,0.0,0.116,0.632,83.622,234380.0,0.0,1.0,False,Victory Lap,https://open.spotify.com/track/5sSiF7LQQJrfYTAnn22D24,"['nu metal', 'post-grunge', 'melodic metalcore', 'alternative metal', 'metalcore']",['metalcore'],metalcore,energetic
0.317,0.931,-5.794,0.0576,6.26e-05,0.653,0.878,0.248,113.007,360360.0,37.0,1.0,False,Hells Bells - Live - 1991,https://open.spotify.com/track/3aSUhKMYQkfEOjkdBwWcoC,"['hard rock', 'australian rock', 'rock']",['rock'],rock,energetic
0.283,0.745,-5.658,0.0782,0.000713,0.0883,0.983,0.438,69.417,348573.0,37.0,1.0,False,"The Jack - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",https://open.spotify.com/track/20vUoaDskVhjYMsNMryrD0,"['hard rock', 'australian rock', 'rock']",['rock'],rock,energetic
0.468,0.826,-3.701,0.0295,0.000858,5.01e-06,0.104,0.359,102.817,240333.0,54.0,1.0,False,Especially in Michigan,https://open.spotify.com/track/1ylzYcU6FGnuBqqdqqH7QL,"['funk rock', 'permanent wave', 'funk metal', 'rock', 'alternative rock']",['rock'],rock,sad
0.498,0.841,-5.943,0.0341,0.000752,0.00951,0.115,0.305,110.055,388106.0,35.0,1.0,True,Overlord,https://open.spotify.com/track/4I3UW5JYREwCdFoAp0EumB,"['nu metal', 'metal', 'virginia metal', 'hard rock', 'melodic metalcore', 'alternative metal', 'groove metal']",['metal'],metal,sad
0.501,0.654,-5.204,0.038,0.0299,1.32e-05,0.172,0.304,97.972,286666.0,,1.0,False,Settle For Nothing,https://open.spotify.com/track/1CbG6oKKrYEw3W1DnddDFv,"['nu metal', 'rap rock', 'hard rock', 'post-grunge', 'alternative metal', 'funk metal', 'rap metal', 'rock', 'political hip hop', 'conscious hip hop', 'alternative rock']",['rock'],rock,sad
0.512,0.857,-5.141,0.0484,0.0144,5.11e-06,0.146,0.823,190.116,174973.0,0.0,2.0,False,Bad Moon Rising,https://open.spotify.com/track/0JqoWsqZNhmUidgll7C7HQ,"['album rock', 'classic rock', 'mellow gold', 'country', 'contemporary country', 'folk rock', 'country road', 'country rock', 'heartland rock', 'swamp rock', 'modern country rock', 'blues rock', 'singer-songwriter', 'southern rock', 'soft rock']",['country'],country,energetic
0.613,0.933,-2.29,0.297,0.00679,1.75e-06,0.346,0.357,75.005,200071.0,55.0,2.0,True,40 Cal,https://open.spotify.com/track/0EB5fgdGQXZOiOMdRhKeCZ,['dubstep'],['dubstep'],,energetic
